v	105
w	122
f	30
m	130849
wikipedia	150632
wd	424
s	386
d	2536
q	166
zero	1016
b	667
f	12
voy	92
w	103
v	78
n	62
m	175622
wikipedia	144420
d	2711
s	320
zero	2500
wd	450
b	427
w	129
v	89
q	182
voy	135
n	47
f	38
wikipedia	153847
m	136820
d	2060
b	533
s	436
zero	1209
wd	487
q	187
w	144
n	91
voy	84
v	66
f	20
wikipedia	157139
m	144517
b	476
d	2271
w	158
zero	1161
s	353
wd	451
q	225
v	68
voy	80
n	40
f	14
wikipedia	153040
m	148828
d	2063
b	595
q	205
w	277
wd	417
zero	1004
s	354
v	101
n	33
voy	279
f	20
wikipedia	147865
m	152674
zero	892
s	300
q	161
wd	466
d	2196
b	488
voy	84
w	703
n	30
v	91
f	14
m	142165
wikipedia	149709
d	2091
s	462
wd	442
q	217
b	515
voy	180
zero	1210
n	49
v	88
w	259
f	18
wikipedia	151037
m	133519
zero	989
s	345
d	2129
voy	929
b	462
wd	537
v	79
q	196
w	84
n	47
f	9
m	130451
wikipedia	1141455
zero	1046
d	2140
q	169
n	32
s	374
wd	490
w	65
voy	76
b	509
v	69
f	95
wikipedia	147728
m	130001
d	2054
v	85
b	725
wd	440
zero	997
s	467
q	204
voy	88
w	106
f	62
n	30
m	136084
wikipedia	157967
d	2101
zero	957
s	348
b	439
wd	486
q	195
w	114
voy	95
n	62
v	80
f	26
wikipedia	153339
m	127122
zero	972
b	420
d	2139
wd	848
q	218
s	411
w	120
voy	107
v	123
n	25
f	81
wikipedia	147398
m	143785
s	367
zero	931
d	3244
b	507
wd	417
q	213
w	154
v	100
voy	240
n	32
f	48
wikipedia	142349
m	135691
b	525
d	2171
zero	1055
wd	425
w	115
voy	184
s	324
v	98
q	189
f	36
n	28
wikipedia	150475
m	144858
zero	1023
w	83
s	370
d	2163
b	415
wd	429
q	209
voy	102
v	93
n	30
f	29
wikipedia	151621
m	134945
b	456
zero	991
d	2285
wd	441
voy	87
s	340
q	211
v	79
w	922
n	25
f	111
wikipedia	150870
m	137048
d	2157
wd	433
zero	950
s	401
b	432
v	95
q	207
n	89
f	30
voy	77
w	1553
wikipedia	149447
m	131630
s	355
d	2116
zero	2336
wd	499
b	405
voy	106
v	82
w	533
q	263
n	25
f	38
wikipedia	149710
m	132802
d	2166
zero	893
wd	442
s	338
b	405
n	40
v	60
q	218
voy	76
w	66
f	23
wikipedia	148933
m	138904
d	2085
n	29
zero	1027
wd	442
b	476
s	341
voy	90
q	221
v	95
w	73
f	16
wikipedia	146141
m	145331
zero	1606
s	397
wd	458
d	2086
voy	107
w	117
q	204
b	464
v	87
n	49
f	29
wikipedia	147005
d	2008
m	247054
zero	853
wd	437
s	315
b	502
q	179
n	30
v	74
voy	95
w	125
f	28
wikipedia	147103
m	136850
v	63
s	355
b	404
zero	954
d	2134
wd	418
q	169
voy	93
w	116
f	32
n	32
m	142954
wikipedia	146206
d	2077
s	446
b	573
voy	544
zero	939
q	186
wd	445
v	66
w	269
n	29
f	9
wikipedia	154830
m	135219
d	2199
zero	3490
b	494
voy	268
wd	485
s	388
q	182
v	79
w	119
n	48
f	66
wikipedia	151263
m	131555
d	2102
zero	1096
wd	564
v	83
n	196
s	353
b	407
q	176
w	104
voy	85
f	746
m	134255
wikipedia	145256
d	2061
zero	1027
b	654
w	115
wd	433
v	75
q	209
s	360
voy	383
n	62
f	27
m	133778
wikipedia	151416
s	343
wd	422
d	2088
zero	1018
q	194
b	523
v	91
w	633
n	31
voy	89
f	139
wikipedia	148138
m	134177
zero	1006
v	62
w	249
b	597
d	2097
wd	430
s	320
voy	160
q	282
n	36
f	21
wikipedia	147443
m	139737
d	2217
zero	969
wd	448
n	50
s	460
b	445
v	91
w	132
voy	80
f	20
q	380
m	133974
wikipedia	163616
d	2161
wd	423
w	112
s	356
zero	1331
q	285
n	59
b	561
voy	121
v	65
f	14
q	212
wikipedia	145441
m	139757
d	2058
s	393
wd	427
n	34
zero	966
b	538
v	83
voy	82
w	89
f	36
wikipedia	146181
m	132721
d	2073
zero	1093
wd	458
b	498
voy	83
q	199
s	348
w	112
v	300
f	13
n	34
wikipedia	149036
m	141962
d	2157
s	356
wd	449
zero	947
b	534
q	171
v	60
voy	86
n	52
w	233
f	12
wikipedia	152107
m	140794
wd	428
d	2281
zero	834
b	472
s	312
q	264
n	43
v	76
voy	78
w	108
f	42
wikipedia	149611
m	131430
zero	1223
b	493
voy	125
d	2070
wd	492
s	367
q	249
v	67
w	142
n	68
f	16
wikipedia	185822
m	136251
wd	422
d	2155
s	331
zero	995
b	560
w	109
q	269
v	84
voy	86
n	37
f	12
m	133486
wikipedia	152138
d	2121
s	332
zero	1020
wd	449
b	734
voy	80
w	87
v	93
q	483
n	31
f	135
wikipedia	227372
d	2102
m	138416
zero	954
s	400
wd	761
w	1400
q	321
v	92
voy	72
b	695
n	38
f	21
m	133398
wikipedia	150416
s	331
zero	912
wd	437
d	2042
q	439
b	534
v	84
voy	95
w	309
n	30
f	18
wikipedia	160905
m	134787
d	2109
wd	437
b	488
zero	898
s	426
n	28
w	101
q	180
f	33
v	71
voy	118
wikipedia	148019
m	191467
wd	429
d	2103
b	652
s	362
zero	938
voy	94
q	205
v	109
f	27
w	108
n	82
wikipedia	157513
m	137460
v	64
q	187
d	2110
zero	932
wd	431
b	441
voy	100
n	25
s	467
w	131
f	61
m	132407
wikipedia	145396
d	2107
wd	423
s	334
b	492
zero	926
q	231
v	60
voy	92
w	106
n	20
f	52
wikipedia	146754
m	130254
s	365
zero	967
d	2093
b	478
w	137
voy	87
wd	435
v	77
q	176
n	48
f	39
